,momentum,BtM,ivol,ROA
2017-01-31,,,,-0.037383706349881474
2017-02-28,,,,-0.010321671720339896
2017-03-31,,,,-0.019618390324435374
2017-04-30,,,,0.011865314875144412
2017-05-31,,,,-0.04730819409816644
2017-06-30,,,,-0.007726454946629806
2017-07-31,,,0.01355592891917443,0.03038588759237263
2017-08-31,,,-0.11577963203275467,-0.02094593575094765
2017-09-30,,,-0.015400525701963246,0.04878993543649794
2017-10-31,,,0.029053661348269515,0.007333113071158304
2017-11-30,,,0.009676048520628554,0.012495427527240624
2017-12-31,,,-0.012201596935649579,-0.03236165445865713
2018-01-31,,,0.04564646076140791,0.02249078423269331
2018-02-28,0.004388752654047864,,0.03781333642606414,-0.01279735327841756
2018-03-31,0.0006567463757565029,,0.03336081917946618,-0.019327492236785575
2018-04-30,-0.013507864006791697,,0.040370420096371644,0.023469671689610665
2018-05-31,0.01156828340413953,,0.007855616750978733,-0.011216216118884478
2018-06-30,-0.09911832038174495,,-0.03804352998540024,-0.01945856237248384
2018-07-31,-0.01804375982900484,,0.027212001889608043,-0.005443677122418427
2018-08-31,0.027025540964081156,,0.0027988711111676477,-0.01842224623504814
2018-09-30,0.011230621723358383,,-0.07742439848571374,-0.033917679564365984
2018-10-31,0.006142484757390137,,0.028640944384953886,0.04452244553144833
2018-11-30,0.04599165040957518,,0.01755433605300044,-0.02243182906991359
2018-12-31,-0.05005778073224041,,0.005605274644996717,0.038841731195052354
2019-01-31,-0.020462194516801202,,2.5023826044007387e-05,-0.02884231081450524
2019-02-28,0.016524476987235227,-0.023932088467758947,0.051653349178735444,0.015320526339269057
2019-03-31,-0.0349129535435212,-0.04777632736915567,-0.006761099868858457,0.047646389160733604
2019-04-30,0.039603155194659824,0.043856704707173594,0.04336834222376731,0.03031451562175798
2019-05-31,-0.007241105869871561,0.024598989191345358,-0.015487167763377517,-0.008624932851097777
2019-06-30,0.047425840148876894,-0.012382255919461925,-0.0625297671706334,-0.022736613883826792
2019-07-31,-0.027657696456395042,-0.0788708819467703,-0.05127717726659113,-0.0248326562923669
2019-08-31,0.0263884924568822,0.015005551638934338,0.03612538019256867,0.010766352515144084
2019-09-30,0.044912946634091025,0.02683135322942067,-0.02943605533756416,0.05210301637765744
2019-10-31,0.02777129288645367,-0.004883744335762753,-0.03570306132191591,0.06873145587053439
2019-11-30,0.02893384390225756,0.014091510825153825,-0.030429876980789087,0.007229764390392447
2019-12-31,0.0460929683116511,0.024812195113585546,0.02131374659291389,0.015154912549856011
2020-01-31,0.010164127134779306,0.0021211709408366173,-0.029161284284859642,-0.028564542839919008
2020-02-29,-0.01896336348470506,-0.05315724372239742,-0.010348966015410521,0.006111258926612129
2020-03-31,0.015173905118574098,0.055685466051201706,0.048229627434778134,0.009369206457284434
2020-04-30,-0.0016326109793480485,0.015361643132610386,0.008871594404603205,-0.03930803974730688
2020-05-31,0.03791905631321797,0.03434365936229952,-0.014841422344123162,0.025805738698931078
2020-06-30,0.02355059514408599,0.026952178021732994,-0.003234214206381698,-0.03029676511262317
